round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value
12,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
12,Team 04,team_04_A,A,Starter Pop,0,0.0,0,0.0,0.0,0.0,0.0
12,Team 04,team_04_B,B,Club Value,0,0.0,0,0.0,0.0,0.0,0.0
12,Team 04,team_04_C,C,Team 04 NextGen,86,394.76,80,308.76,308.76,3.5903,0.7821
12,Team 05,team_05_A,A,Club Control,76,235.53,80,159.53,159.53,2.0991,0.6773
12,Team 05,team_05_B,B,Court Starter,66,204.63,69,138.63,138.63,2.1004,0.6775
12,Team 05,team_05_C,C,Club Spin,49,254.55,51,205.55,205.55,4.195,0.8075
12,Team 06,team_06_A,A,Elite Spin Pro,122,259.72,102,137.72,137.72,1.1288,0.5303
12,Team 06,team_06_B,B,Control Tour,135,215.16,112,80.16,80.16,0.5938,0.3726
12,Team 06,team_06_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
