round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes
1,Team 06,team_06_C,Club Prestige,C,mid,maturity,4,1,club,132.48,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.38,0.0,0,0,0,-1,0.913,0.0,0.0,False,,False,0.0,
2,Team 01,team_01_A,Elite Spin Pro,A,premium,growth,2,3,tour,209.52,85,87,87,0.005,86,92.96,92.96,92,0,0,0.9897,7.96,7.96,0.0936,0.0856,19275.84,4183.83,71.87,20.7,3799.29,0.0,442.57,117.76,9226.9,6,0,0,1,1.062,0.0,0.0,False,,False,0.0,
2,Team 01,team_01_B,Control Tour,B,mid,growth,3,2,tour,168.48,95,97,97,0.005,96,89.23,89.23,89,0,20,0.9974,-5.77,5.77,-0.0607,0.0647,14994.72,4646.3,200.13,20.02,4235.99,0.0,493.43,76.91,3929.53,13,0,0,0,1.0,0.0,0.0,False,,False,0.0,
2,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.81,0.0,0,0,0,-1,0.91,0.0,0.0,False,,False,0.0,
2,Team 02,team_02_A,Momentum Edge,A,mid,growth,2,2,power,128.48,158,146,0,0.0338,0,94.04,94.04,36,30,0,0.3828,-63.96,63.96,-0.4048,0.6802,4625.28,0.0,0.0,54.76,0.0,280.0,0.0,85.64,3700.7,36,0,28,0,1.0,2.4,0.0,False,,False,0.0,Production capped from 146 to 0 by shared capacity or materials. Lost 30 sales units. Carried 28 backlog units.
2,Team 02,team_02_B,Rise Power,B,premium,growth,3,3,power,156.64,112,104,0,0.0374,0,81.15,81.15,0,42,0,0.0,-30.85,30.85,-0.2755,0.3802,0.0,0.0,0.0,0.0,0.0,400.0,0.0,113.8,-908.98,0,1,40,1,1.062,2.73,0.0,False,,False,0.0,Production capped from 104 to 0 by shared capacity or materials. Lost 42 sales units. Carried 40 backlog units.
2,Team 02,team_02_C,Court Wave,C,beginner,maturity,4,1,entry,91.52,145,134,0,0.0387,0,63.96,63.96,31,17,0,0.4847,-81.04,81.04,-0.5589,1.2669,2837.12,0.0,0.0,54.01,0.0,150.0,0.0,48.68,2231.91,31,0,15,-1,0.965,0.0,5.13,False,,False,0.0,Production capped from 134 to 0 by shared capacity or materials. Lost 17 sales units. Carried 15 backlog units.
2,Team 03,team_03_A,Vector X,A,premium,growth,3,3,engineered,184.0,90,90,90,0.005,89,93.88,93.88,91,0,0,0.9693,3.88,3.88,0.0431,0.0413,16744.0,4219.2,95.4,20.48,3579.88,20.0,388.8,100.29,7171.35,2,0,2,1,1.062,0.0,0.0,False,,False,0.0,Carried 2 backlog units.
2,Team 03,team_03_B,Axis Control,B,mid,growth,2,2,engineered,149.0,110,110,110,0.005,109,94.05,94.05,94,0,43,0.9995,-15.95,15.95,-0.145,0.1696,14006.0,5098.5,374.6,21.15,4375.4,0.0,475.2,65.82,2410.04,28,0,0,0,1.0,0.0,0.0,False,,False,0.0,
2,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.03,0.0,0,0,0,-1,0.965,0.0,0.0,False,,False,0.0,
