round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,run_id,team_count,market_scenario,market_label
2,Team 01,team_01_A,A,Momentum Edge,158,110.84,11,-47.16,47.16,-0.2985,0.4254,3,6,batch_003,Batch market 003
2,Team 01,team_01_B,B,Rise Power,112,102.08,0,-9.92,9.92,-0.0886,0.0972,3,6,batch_003,Batch market 003
2,Team 01,team_01_C,C,Court Wave,145,73.65,8,-71.35,71.35,-0.492,0.9686,3,6,batch_003,Batch market 003
2,Team 02,team_02_A,A,Vector X,90,117.64,39,27.64,27.64,0.3071,0.2349,3,6,batch_003,Batch market 003
2,Team 02,team_02_B,B,Axis Control,110,117.27,54,7.27,7.27,0.0661,0.062,3,6,batch_003,Batch market 003
2,Team 02,team_02_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,3,6,batch_003,Batch market 003
2,Team 03,team_03_A,A,Starter Pop,144,107.37,107,-36.63,36.63,-0.2544,0.3412,3,6,batch_003,Batch market 003
2,Team 03,team_03_B,B,Club Value,125,70.89,70,-54.11,54.11,-0.4329,0.7634,3,6,batch_003,Batch market 003
2,Team 03,team_03_C,C,Flex Edge,86,111.73,80,25.73,25.73,0.2991,0.2303,3,6,batch_003,Batch market 003
2,Team 04,team_04_A,A,Club Control,83,96.19,29,13.19,13.19,0.1589,0.1371,3,6,batch_003,Batch market 003
2,Team 04,team_04_B,B,Court Starter,72,77.97,26,5.97,5.97,0.083,0.0766,3,6,batch_003,Batch market 003
2,Team 04,team_04_C,C,Club Spin,52,134.82,18,82.82,82.82,1.5926,0.6143,3,6,batch_003,Batch market 003
2,Team 05,team_05_A,A,Elite Spin Pro,132,113.25,15,-18.75,18.75,-0.1421,0.1656,3,6,batch_003,Batch market 003
2,Team 05,team_05_B,B,Control Tour,146,114.34,23,-31.66,31.66,-0.2168,0.2769,3,6,batch_003,Batch market 003
2,Team 05,team_05_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0,3,6,batch_003,Batch market 003
2,Team 06,team_06_A,A,Momentum Edge,108,115.67,115,7.67,7.67,0.071,0.0663,3,6,batch_003,Batch market 003
2,Team 06,team_06_B,B,Rise Power,76,118.85,76,42.85,42.85,0.5639,0.3606,3,6,batch_003,Batch market 003
2,Team 06,team_06_C,C,Court Wave,99,89.45,94,-9.55,9.55,-0.0965,0.1068,3,6,batch_003,Batch market 003
3,Team 01,team_01_A,A,Momentum Edge,158,112.9,0,-45.1,45.1,-0.2855,0.3995,3,6,batch_003,Batch market 003
3,Team 01,team_01_B,B,Rise Power,112,79.69,0,-32.31,32.31,-0.2885,0.4055,3,6,batch_003,Batch market 003
3,Team 01,team_01_C,C,Court Wave,145,71.38,0,-73.62,73.62,-0.5077,1.0314,3,6,batch_003,Batch market 003
3,Team 02,team_02_A,A,Vector X,90,101.33,89,11.33,11.33,0.1258,0.1118,3,6,batch_003,Batch market 003
3,Team 02,team_02_B,B,Axis Control,110,131.51,109,21.51,21.51,0.1956,0.1636,3,6,batch_003,Batch market 003
3,Team 02,team_02_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,3,6,batch_003,Batch market 003
3,Team 03,team_03_A,A,Starter Pop,144,95.11,95,-48.89,48.89,-0.3395,0.514,3,6,batch_003,Batch market 003
3,Team 03,team_03_B,B,Club Value,125,80.68,80,-44.32,44.32,-0.3545,0.5493,3,6,batch_003,Batch market 003
3,Team 03,team_03_C,C,Flex Edge,86,123.95,80,37.95,37.95,0.4413,0.3062,3,6,batch_003,Batch market 003
3,Team 04,team_04_A,A,Club Control,83,100.03,71,17.03,17.03,0.2052,0.1703,3,6,batch_003,Batch market 003
3,Team 04,team_04_B,B,Court Starter,72,80.45,62,8.45,8.45,0.1173,0.105,3,6,batch_003,Batch market 003
3,Team 04,team_04_C,C,Club Spin,52,139.91,46,87.91,87.91,1.6905,0.6283,3,6,batch_003,Batch market 003
3,Team 05,team_05_A,A,Elite Spin Pro,132,132.98,111,0.98,0.98,0.0074,0.0074,3,6,batch_003,Batch market 003
3,Team 05,team_05_B,B,Control Tour,146,96.78,120,-49.22,49.22,-0.3371,0.5086,3,6,batch_003,Batch market 003
3,Team 05,team_05_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0,3,6,batch_003,Batch market 003
3,Team 06,team_06_A,A,Momentum Edge,108,133.44,108,25.44,25.44,0.2356,0.1907,3,6,batch_003,Batch market 003
3,Team 06,team_06_B,B,Rise Power,76,104.97,76,28.97,28.97,0.3811,0.276,3,6,batch_003,Batch market 003
3,Team 06,team_06_C,C,Court Wave,99,98.91,98,-0.09,0.09,-0.0009,0.0009,3,6,batch_003,Batch market 003
4,Team 01,team_01_A,A,Momentum Edge,158,114.46,140,-43.54,43.54,-0.2756,0.3804,3,6,batch_003,Batch market 003
4,Team 01,team_01_B,B,Rise Power,112,92.11,100,-19.89,19.89,-0.1776,0.2159,3,6,batch_003,Batch market 003
4,Team 01,team_01_C,C,Court Wave,145,92.51,113,-52.49,52.49,-0.362,0.5675,3,6,batch_003,Batch market 003
4,Team 02,team_02_A,A,Vector X,90,105.31,89,15.31,15.31,0.1701,0.1454,3,6,batch_003,Batch market 003
4,Team 02,team_02_B,B,Axis Control,110,121.02,109,11.02,11.02,0.1002,0.091,3,6,batch_003,Batch market 003
4,Team 02,team_02_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,3,6,batch_003,Batch market 003
4,Team 03,team_03_A,A,Starter Pop,144,107.35,107,-36.65,36.65,-0.2545,0.3414,3,6,batch_003,Batch market 003
4,Team 03,team_03_B,B,Club Value,115,72.94,72,-42.06,42.06,-0.3657,0.5766,3,6,batch_003,Batch market 003
4,Team 03,team_03_C,C,Flex Edge,86,114.16,80,28.16,28.16,0.3275,0.2467,3,6,batch_003,Batch market 003
4,Team 04,team_04_A,A,Club Control,83,111.14,74,28.14,28.14,0.339,0.2532,3,6,batch_003,Batch market 003
4,Team 04,team_04_B,B,Court Starter,66,72.87,58,6.87,6.87,0.1041,0.0943,3,6,batch_003,Batch market 003
4,Team 04,team_04_C,C,Club Spin,52,121.34,47,69.34,69.34,1.3334,0.5714,3,6,batch_003,Batch market 003
4,Team 05,team_05_A,A,Elite Spin Pro,132,116.12,111,-15.88,15.88,-0.1203,0.1367,3,6,batch_003,Batch market 003
4,Team 05,team_05_B,B,Control Tour,146,109.34,109,-36.66,36.66,-0.2511,0.3353,3,6,batch_003,Batch market 003
4,Team 05,team_05_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0,3,6,batch_003,Batch market 003
4,Team 06,team_06_A,A,Momentum Edge,108,121.38,108,13.38,13.38,0.1239,0.1102,3,6,batch_003,Batch market 003
4,Team 06,team_06_B,B,Rise Power,76,109.04,76,33.04,33.04,0.4347,0.303,3,6,batch_003,Batch market 003
4,Team 06,team_06_C,C,Court Wave,99,114.91,105,15.91,15.91,0.1607,0.1385,3,6,batch_003,Batch market 003
5,Team 01,team_01_A,A,Momentum Edge,158,123.82,131,-34.18,34.18,-0.2164,0.2761,3,6,batch_003,Batch market 003
5,Team 01,team_01_B,B,Rise Power,112,99.49,100,-12.51,12.51,-0.1117,0.1257,3,6,batch_003,Batch market 003
5,Team 01,team_01_C,C,Court Wave,133,81.86,81,-51.14,51.14,-0.3845,0.6248,3,6,batch_003,Batch market 003
5,Team 02,team_02_A,A,Vector X,90,114.02,89,24.02,24.02,0.2669,0.2107,3,6,batch_003,Batch market 003
5,Team 02,team_02_B,B,Axis Control,110,131.08,109,21.08,21.08,0.1916,0.1608,3,6,batch_003,Batch market 003
5,Team 02,team_02_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,3,6,batch_003,Batch market 003
