round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes,run_id,team_count,market_scenario,market_label
1,Team 01,Sponsorship Growth,3,1,0,0,0,315,397.34,82.34,82.34,0.2072,89,139.99,315,315,339,92.92,34.31,0.0252,306,397.34,306,51,38,0,5,0.7701,42838.0,11665.4,15007.45,10.0,346.36,380.0,936.0,2500.0,22.0,321.55,1000.0,0.0,42154.79,1000.0,False,30867.21,11970.79,51.7,57.32,2.0,0.0,0,320,0,315,340,0,,"Portfolio forecast WAPE was 20.72% against realized demand. Lost 51 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
1,Team 02,Engineering Challenger,2,1,0,0,0,180,263.74,83.74,83.74,0.3175,89,172.92,176,176,304,57.89,37.41,0.005,174,263.74,174,71,18,0,114,0.6597,30088.8,6247.47,8986.34,228.0,39.15,180.0,648.0,9000.0,154.0,5314.74,7000.0,0.0,38749.84,7000.0,False,25482.96,4605.84,85.15,51.55,2.0,0.0,0,290,0,176,167,0,,"Portfolio forecast WAPE was 31.75% against realized demand. Lost 71 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
1,Team 03,Low-Cost Volume,3,1,0,0,0,299,354.58,55.58,83.86,0.2365,65,102.21,324,324,424,76.42,26.03,0.0513,306,354.58,288,47,18,18,96,0.8122,29437.2,6923.98,10953.36,300.0,667.91,180.0,0.0,750.0,0.0,3575.94,0.0,0.0,38893.95,0.0,False,19775.25,9661.95,37.82,40.35,1.33,16.9,0,420,0,324,266,0,,Portfolio forecast WAPE was 23.65% against realized demand. Lost 47 sales units across the portfolio. Carried 18 backlog units into next round.,1,6,batch_001,Batch market 001
1,Team 04,Community / Club,3,1,0,0,0,383,391.15,8.15,75.67,0.1935,99,120.39,325,300,345,86.96,28.47,0.0236,292,391.15,291,30,69,1,0,0.744,35032.32,12014.34,12917.26,6.0,309.37,690.0,2592.0,4000.0,220.0,1571.53,10000.0,0.0,35323.35,10000.0,False,32748.97,2283.35,33.65,55.77,1.67,19.37,0,300,0,300,422,0,,"Portfolio forecast WAPE was 19.35% against realized demand. Lost 30 sales units across the portfolio. Carried 69 backlog units into next round. Used $10,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
1,Team 05,Premium Quality,2,1,0,0,0,180,256.64,76.64,76.64,0.2986,74,187.87,184,184,270,68.15,41.76,0.005,182,256.64,182,60,14,0,76,0.7092,34192.8,7683.84,9897.19,152.0,40.95,140.0,936.0,3000.0,0.0,3173.76,0.0,0.0,37926.82,0.0,False,21849.98,12342.82,91.05,61.2,2.0,0.0,0,260,0,184,184,0,,Portfolio forecast WAPE was 29.86% against realized demand. Lost 60 sales units across the portfolio. Carried 14 backlog units into next round.,1,6,batch_001,Batch market 001
1,Team 06,Sponsorship Growth,3,1,0,0,0,415,397.55,-17.45,66.47,0.1672,89,123.21,384,320,358,89.39,30.76,0.0376,307,397.55,307,6,83,0,0,0.7722,37825.92,14641.76,15538.22,0.0,520.04,830.0,2088.0,1500.0,77.0,525.0,3500.0,0.0,35314.9,3500.0,False,35195.02,2630.9,23.21,57.35,2.0,0.0,0,320,0,320,476,0,,"Portfolio forecast WAPE was 16.72% against realized demand. Lost 6 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing.",1,6,batch_001,Batch market 001
2,Team 01,Sponsorship Growth,3,1,0,0,0,315,401.25,86.25,86.25,0.215,131,140.01,315,315,352,89.49,35.18,0.0229,307,401.25,307,93,38,0,30,0.6989,42984.0,11961.2,15358.8,60.0,316.83,380.0,936.0,2500.0,44.0,1355.4,1000.0,0.0,54581.96,2000.0,False,31556.83,11427.17,49.99,50.04,2.0,9.0,0,5,340,315,340,38,,"Portfolio forecast WAPE was 21.50% against realized demand. Lost 93 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
2,Team 02,Engineering Challenger,2,1,0,0,0,180,280.71,100.71,100.71,0.3588,124,172.92,176,176,313,56.23,38.37,0.005,174,280.71,174,106,18,0,105,0.5825,30088.8,6407.79,9185.04,210.0,39.15,180.0,648.0,9000.0,308.0,6128.85,7000.0,0.0,49860.66,14000.0,True,25977.98,4110.82,83.09,41.28,2.0,0.0,0,114,167,176,167,18,,"Portfolio forecast WAPE was 35.88% against realized demand. Lost 106 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
2,Team 03,Low-Cost Volume,3,1,0,0,0,299,372.89,73.89,97.69,0.262,97,102.27,324,324,424,76.42,26.69,0.0504,307,372.89,292,79,18,33,38,0.747,29861.52,7099.54,11214.49,274.01,663.53,180.0,0.0,750.0,0.0,3037.21,0.0,0.0,48573.9,0.0,False,20181.57,9679.95,37.27,30.3,1.33,17.31,18,96,266,324,266,18,,Portfolio forecast WAPE was 26.20% against realized demand. Lost 79 sales units across the portfolio. Carried 18 backlog units into next round.,1,6,batch_001,Batch market 001
2,Team 04,Community / Club,3,1,0,0,0,383,396.43,13.43,135.63,0.3421,150,120.46,325,325,381,85.3,29.19,0.0218,317,396.43,314,81,69,4,97,0.6746,37825.92,12318.18,14185.27,218.0,307.71,690.0,2592.0,4000.0,440.0,6122.78,10000.0,0.0,48398.11,20000.0,True,34751.16,3074.76,35.08,47.98,1.67,33.0,1,0,422,325,422,69,,"Portfolio forecast WAPE was 34.21% against realized demand. Lost 81 sales units across the portfolio. Carried 69 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
2,Team 05,Premium Quality,2,1,0,0,0,180,274.15,94.15,94.15,0.3434,105,187.87,184,184,283,65.02,42.82,0.005,182,274.15,182,91,14,0,76,0.6316,34192.8,7878.88,10112.47,152.0,40.95,140.0,936.0,3000.0,0.0,3254.32,0.0,0.0,49859.32,0.0,False,22260.3,11932.5,88.79,53.4,2.0,0.0,0,76,184,184,184,14,,Portfolio forecast WAPE was 34.34% against realized demand. Lost 91 sales units across the portfolio. Carried 14 backlog units into next round.,1,6,batch_001,Batch market 001
2,Team 06,Sponsorship Growth,3,1,0,0,0,415,357.56,-57.44,89.14,0.2493,439,0.0,384,0,387,0.0,31.54,0.1059,0,357.56,0,356,83,0,0,0.0,0.0,15013.04,0.0,0.0,0.0,830.0,2088.0,1500.0,154.0,1050.0,3500.0,0.0,19229.86,7000.0,True,19585.04,-19585.04,0.0,12.3,2.0,7.94,0,0,0,0,476,83,,"Portfolio forecast WAPE was 24.93% against realized demand. Lost 356 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
3,Team 01,Sponsorship Growth,3,1,0,0,0,315,402.71,87.71,87.71,0.2178,132,140.01,315,315,365,86.3,36.06,0.0224,307,402.71,307,94,38,0,55,0.6966,42984.0,12260.4,15708.1,109.99,309.36,380.0,936.0,2500.0,66.0,2433.3,1000.0,0.0,66296.11,3000.0,False,32269.85,10714.15,47.9,42.77,2.0,16.43,0,30,340,315,340,38,,"Portfolio forecast WAPE was 21.78% against realized demand. Lost 94 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
3,Team 02,Engineering Challenger,2,1,0,0,0,180,273.89,93.89,93.89,0.3428,117,172.92,176,176,322,54.66,39.32,0.005,174,273.89,174,99,18,0,96,0.5961,30088.8,6566.44,9384.71,192.0,39.15,180.0,648.0,9000.0,462.0,6924.72,7000.0,0.0,60477.16,21000.0,True,26472.3,3616.5,81.03,31.56,2.0,9.29,0,105,167,176,167,18,,"Portfolio forecast WAPE was 34.28% against realized demand. Lost 99 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
3,Team 03,Low-Cost Volume,3,1,0,0,0,299,371.07,72.07,77.29,0.2083,99,102.13,324,304,424,71.7,27.36,0.0496,287,371.07,288,81,18,32,0,0.7402,29412.72,7277.76,10776.6,192.0,642.4,180.0,0.0,750.0,0.0,2009.9,0.0,0.0,58167.86,0.0,False,19818.76,9593.96,37.21,20.12,1.33,16.89,33,38,266,304,266,18,,Portfolio forecast WAPE was 20.83% against realized demand. Lost 81 sales units across the portfolio. Carried 18 backlog units into next round.,1,6,batch_001,Batch market 001
3,Team 04,Community / Club,3,1,0,0,0,383,414.8,31.8,133.24,0.3212,164,120.11,325,325,417,77.94,29.92,0.0218,317,414.8,319,95,69,2,194,0.6594,38315.52,12626.24,14513.12,400.0,313.46,690.0,2592.0,4000.0,660.0,10453.63,10000.0,0.0,60918.81,30000.0,True,35794.82,2520.7,34.05,39.48,1.67,34.53,4,97,422,325,422,69,,"Portfolio forecast WAPE was 32.12% against realized demand. Lost 95 sales units across the portfolio. Carried 69 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
3,Team 05,Premium Quality,2,1,0,0,0,180,270.07,90.07,90.07,0.3335,101,187.87,184,184,296,62.16,43.89,0.005,182,270.07,182,87,14,0,76,0.6407,34192.8,8075.76,10327.75,152.0,40.95,140.0,936.0,3000.0,0.0,3335.64,0.0,0.0,61379.66,0.0,False,22672.46,11520.34,86.53,45.95,2.0,10.21,0,76,184,184,184,14,,Portfolio forecast WAPE was 33.35% against realized demand. Lost 87 sales units across the portfolio. Carried 14 backlog units into next round.,1,6,batch_001,Batch market 001
3,Team 06,Sponsorship Growth,3,1,0,0,0,415,371.45,-43.55,43.55,0.1172,84,123.29,384,384,416,92.31,32.33,0.0349,369,371.45,369,1,83,0,92,0.812,45494.24,15389.08,19206.34,184.0,579.03,830.0,2088.0,1500.0,231.0,4549.36,3500.0,0.0,28216.65,10500.0,False,40007.45,5486.79,27.97,9.13,2.0,15.0,0,0,476,384,476,83,,"Portfolio forecast WAPE was 11.72% against realized demand. Lost 1 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing.",1,6,batch_001,Batch market 001
4,Team 01,Sponsorship Growth,3,1,0,0,0,315,421.79,106.79,106.79,0.2532,151,140.01,315,315,378,83.33,36.93,0.0216,307,421.79,307,113,38,0,80,0.6677,42984.0,12556.2,16057.15,159.99,298.83,380.0,936.0,2500.0,88.0,3554.4,1000.0,0.0,77303.94,4000.0,False,32976.17,10007.83,45.84,34.45,2.0,12.47,0,55,340,315,340,38,,"Portfolio forecast WAPE was 25.32% against realized demand. Lost 113 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
4,Team 02,Engineering Challenger,2,1,1,0,0,180,268.72,88.72,88.72,0.3302,112,172.92,176,176,331,53.17,40.28,0.005,174,268.72,174,94,18,0,87,0.6069,30088.8,6726.76,9584.38,174.0,39.15,180.0,648.0,9000.0,616.0,7704.36,7000.0,0.0,70597.67,28000.0,True,26968.29,3120.51,78.96,22.26,2.0,5.9,0,96,167,176,167,18,,"Portfolio forecast WAPE was 33.02% against realized demand. Lost 94 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
4,Team 03,Low-Cost Volume,3,1,0,0,0,291,373.32,82.32,82.32,0.2205,125,102.05,315,266,424,62.74,28.02,0.0501,251,373.32,265,108,17,18,0,0.6772,27043.26,7229.16,9662.72,108.0,598.42,170.0,0.0,750.0,0.0,1158.23,0.0,0.0,66692.82,0.0,False,18518.3,8524.96,36.05,7.37,1.33,13.36,32,0,266,266,258,18,,Portfolio forecast WAPE was 22.05% against realized demand. Lost 108 sales units across the portfolio. Carried 17 backlog units into next round.,1,6,batch_001,Batch market 001
4,Team 04,Community / Club,3,1,0,0,0,373,403.15,30.15,88.31,0.219,161,120.76,316,316,453,69.76,30.64,0.0221,308,403.15,310,94,67,0,300,0.6566,37434.24,12593.04,14484.77,600.0,309.58,670.0,2592.0,4000.0,880.0,15192.0,10000.0,0.0,72223.66,40000.0,True,36129.39,1304.85,32.41,30.83,1.67,23.2,2,194,422,316,411,69,,"Portfolio forecast WAPE was 21.90% against realized demand. Lost 94 sales units across the portfolio. Carried 67 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
4,Team 05,Premium Quality,2,1,0,0,0,180,266.18,86.18,86.18,0.3238,97,187.87,184,184,309,59.55,44.95,0.005,182,266.18,182,83,14,0,76,0.6496,34192.8,8270.8,10543.03,152.0,40.95,140.0,936.0,3000.0,0.0,3416.2,0.0,0.0,72489.68,0.0,False,23082.78,11110.02,84.27,38.86,2.0,6.46,0,76,184,184,184,14,,Portfolio forecast WAPE was 32.38% against realized demand. Lost 83 sales units across the portfolio. Carried 14 backlog units into next round.,1,6,batch_001,Batch market 001
4,Team 06,Sponsorship Growth,3,1,0,0,0,415,392.83,-22.17,45.65,0.1162,105,123.29,384,384,445,86.29,33.11,0.0341,369,392.83,369,22,83,0,184,0.7755,45494.24,15760.36,19649.6,368.01,566.34,830.0,2088.0,1500.0,308.0,8192.24,3500.0,0.0,36140.58,14000.0,False,41070.31,4423.93,25.79,4.56,2.0,11.49,0,92,476,384,476,83,,"Portfolio forecast WAPE was 11.62% against realized demand. Lost 22 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing.",1,6,batch_001,Batch market 001
5,Team 01,Sponsorship Growth,3,1,0,0,0,306,379.1,73.1,73.1,0.1928,118,141.1,306,306,391,78.26,37.81,0.0225,298,379.1,298,81,37,0,114,0.7145,42048.0,12477.3,15973.22,227.99,302.13,370.0,936.0,2500.0,110.0,5060.34,1000.0,0.0,87455.3,5000.0,False,32896.64,9151.36,44.62,27.85,2.0,10.74,0,80,340,306,330,38,,"Portfolio forecast WAPE was 19.28% against realized demand. Lost 81 sales units across the portfolio. Carried 37 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
5,Team 02,Engineering Challenger,3,0,0,1,0,180,422.29,242.29,242.29,0.5738,265,172.92,176,176,340,51.76,41.23,0.0051,174,422.29,174,247,18,0,78,0.3952,30088.8,6885.41,9783.08,156.0,39.15,180.0,648.0,0,770.0,8465.94,7000.0,0.0,89224.83,35000.0,True,18461.64,11627.16,76.9,4.56,3.0,21.14,0,87,167,176,167,18,Launched Team 02 NextGen into slot C,"Launched Team 02 NextGen into slot C Portfolio forecast WAPE was 57.38% against realized demand. Lost 247 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
5,Team 03,Low-Cost Volume,3,1,0,0,0,291,361.1,70.1,75.28,0.2085,120,102.08,315,258,424,60.85,28.68,0.0501,243,361.1,256,103,17,5,0,0.6771,26131.38,7399.44,9586.01,30.0,578.1,170.0,0.0,750.0,0.0,329.18,0.0,0.0,74310.65,0.0,False,18513.55,7617.83,33.47,0.0,1.33,12.95,18,0,258,258,258,17,,Portfolio forecast WAPE was 20.85% against realized demand. Lost 103 sales units across the portfolio. Carried 17 backlog units into next round.,1,6,batch_001,Batch market 001
5,Team 04,Community / Club,3,1,0,0,0,360,365.78,5.78,99.76,0.2727,139,120.59,305,305,489,62.37,31.37,0.0234,297,365.78,292,74,65,5,406,0.6747,35210.88,12422.52,14351.53,842.0,307.12,650.0,2592.0,4000.0,1100.0,20628.34,10000.0,0.0,81169.37,50000.0,True,36265.17,-1054.29,27.84,22.87,1.67,20.63,0,300,411,305,396,67,,"Portfolio forecast WAPE was 27.27% against realized demand. Lost 74 sales units across the portfolio. Carried 65 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
5,Team 05,Premium Quality,2,1,0,0,0,180,259.24,79.24,79.24,0.3057,91,187.87,184,184,322,57.14,46.02,0.005,182,259.24,182,77,14,0,76,0.6661,34192.8,8467.68,10759.18,152.0,40.95,140.0,936.0,3000.0,0.0,3497.52,0.0,0.0,83186.67,0.0,False,23495.81,10696.99,82.01,32.33,2.0,6.28,0,76,184,184,184,14,,Portfolio forecast WAPE was 30.57% against realized demand. Lost 77 sales units across the portfolio. Carried 14 backlog units into next round.,1,6,batch_001,Batch market 001
5,Team 06,Sponsorship Growth,3,1,0,0,0,403,359.49,-43.51,60.71,0.1689,89,124.83,373,373,474,78.69,33.9,0.035,358,359.49,352,8,81,6,287,0.7955,43938.4,15695.7,19577.43,610.0,551.71,810.0,2088.0,1500.0,385.0,12872.62,3500.0,0.0,42361.14,17500.0,False,41217.84,2720.56,23.05,0.76,2.0,10.13,0,184,476,373,463,83,,"Portfolio forecast WAPE was 16.89% against realized demand. Lost 8 sales units across the portfolio. Carried 81 backlog units into next round. Used $3,500.00 of planned borrowing.",1,6,batch_001,Batch market 001
6,Team 01,Sponsorship Growth,3,1,0,0,0,299,379.76,80.76,80.76,0.2127,124,140.21,299,299,404,74.01,38.68,0.0234,291,379.76,291,88,36,0,145,0.6982,40802.0,12493.64,15956.07,290.0,305.96,360.0,936.0,2500.0,132.0,6508.6,1000.0,0.0,96283.63,6000.0,False,32973.67,7828.33,41.4,20.51,2.0,10.41,0,114,330,299,323,37,,"Portfolio forecast WAPE was 21.27% against realized demand. Lost 88 sales units across the portfolio. Carried 36 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
6,Team 02,Engineering Challenger,3,1,0,0,1,214,428.16,214.16,214.16,0.5002,237,161.91,210,210,349,60.17,42.18,0.0054,207,428.16,207,219,18,0,35,0.464,33516.0,8436.0,11941.57,69.99,50.52,180.0,648.0,0.0,924.0,7776.3,7000.0,0.0,107490.75,42000.0,True,22250.08,11265.92,63.23,0.0,3.0,17.32,0,78,167,210,200,18,,"Portfolio forecast WAPE was 50.02% against realized demand. Lost 219 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
6,Team 03,Low-Cost Volume,3,1,0,0,0,281,357.95,76.95,76.95,0.215,126,102.53,305,258,424,60.85,29.35,0.0513,243,357.95,248,109,17,0,0,0.6614,25426.56,7337.5,9796.86,0.0,572.56,170.0,0.0,750.0,0.0,0.0,0.0,0.0,81110.29,0.0,False,18626.92,6799.64,31.13,0.0,1.33,13.27,5,0,258,258,250,17,,Portfolio forecast WAPE was 21.50% against realized demand. Lost 109 sales units across the portfolio. Carried 17 backlog units into next round.,1,6,batch_001,Batch market 001
6,Team 04,Community / Club,3,1,0,0,0,360,390.89,30.89,95.07,0.2432,158,120.67,305,305,525,58.1,32.1,0.0234,297,390.89,296,93,65,6,497,0.6493,35717.76,12711.6,14660.52,1030.0,311.38,650.0,2592.0,4000.0,1320.0,25434.7,10000.0,0.0,89611.63,60000.0,True,37275.5,-1557.74,27.14,13.82,1.67,22.07,5,406,396,305,396,65,,"Portfolio forecast WAPE was 24.32% against realized demand. Lost 93 sales units across the portfolio. Carried 65 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
6,Team 05,Premium Quality,2,1,0,0,1,172,253.79,81.79,81.79,0.3223,93,188.76,176,176,335,52.54,47.08,0.005,174,253.79,174,82,11,0,84,0.6498,32844.96,8286.08,10517.98,168.0,39.15,110.0,936.0,3000.0,0.0,3954.72,0.0,0.0,92974.42,0.0,False,23057.21,9787.75,80.47,25.07,2.0,5.47,0,76,184,176,176,14,,Portfolio forecast WAPE was 32.23% against realized demand. Lost 82 sales units across the portfolio. Carried 11 backlog units into next round.,1,6,batch_001,Batch market 001
6,Team 06,Sponsorship Growth,3,1,0,0,0,394,358.44,-35.56,35.56,0.0992,93,123.71,364,364,503,72.37,34.68,0.0358,349,358.44,346,14,79,9,399,0.7874,42803.2,15640.68,19563.54,852.0,556.89,790.0,2088.0,1500.0,462.0,17783.15,3500.0,0.0,47211.23,21000.0,True,41453.11,1350.09,20.35,0.0,2.0,9.71,6,287,476,364,451,81,,"Portfolio forecast WAPE was 9.92% against realized demand. Lost 14 sales units across the portfolio. Carried 79 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
7,Team 01,Sponsorship Growth,3,1,0,0,0,289,425.07,136.07,136.07,0.3201,179,140.01,289,289,417,69.3,39.56,0.0246,281,425.07,281,144,35,0,179,0.6095,39342.0,12342.72,15773.22,357.99,311.47,350.0,936.0,2500.0,154.0,8131.24,1000.0,0.0,103900.23,7000.0,False,32725.4,6616.6,38.84,9.4,2.0,12.63,0,145,323,289,312,36,,"Portfolio forecast WAPE was 32.01% against realized demand. Lost 144 sales units across the portfolio. Carried 35 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
7,Team 02,Engineering Challenger,2,1,1,0,1,132,367.7,235.7,235.7,0.641,258,144.52,129,129,358,36.03,43.14,0.005,127,367.7,127,247,11,0,106,0.3293,18354.0,5306.22,7423.15,212.0,28.58,110.0,648.0,9000.0,1078.0,11922.84,7000.0,0.0,109038.8,49000.0,True,23805.95,-5451.95,44.06,0.0,3.0,5.09,0,35,200,129,123,18,,"Portfolio forecast WAPE was 64.10% against realized demand. Lost 247 sales units across the portfolio. Carried 11 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
7,Team 03,Low-Cost Volume,3,1,0,0,0,275,407.72,132.72,132.72,0.3255,189,102.08,299,250,424,58.96,30.01,0.0521,235,407.72,235,173,16,0,0,0.5533,23989.38,7352.45,9698.04,0.0,550.86,160.0,0.0,750.0,0.0,0.0,0.0,0.0,86588.32,0.0,False,18511.35,5478.03,27.18,0.0,1.33,16.26,0,0,250,250,245,17,,Portfolio forecast WAPE was 32.55% against realized demand. Lost 173 sales units across the portfolio. Carried 16 backlog units into next round.,1,6,batch_001,Batch market 001
7,Team 04,Community / Club,3,1,0,0,0,352,435.41,83.41,85.73,0.1969,202,120.35,298,298,561,53.12,32.82,0.0243,290,435.41,296,139,63,0,595,0.5915,35623.68,12701.34,14664.86,1190.0,323.61,630.0,2592.0,4000.0,1540.0,30027.9,10000.0,0.0,97593.5,70000.0,True,37641.81,-2018.13,26.8,2.19,1.67,26.56,6,497,396,298,387,65,,"Portfolio forecast WAPE was 19.69% against realized demand. Lost 139 sales units across the portfolio. Carried 63 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
7,Team 05,Premium Quality,1,1,0,0,1,78,145.96,67.96,67.96,0.4656,77,209.52,80,80,348,22.99,48.15,0.005,79,145.96,79,77,0,0,180,0.5033,16552.08,3852.0,4951.2,360.0,17.78,0.0,936.0,3000.0,0.0,8667.0,0.0,0.0,96409.52,0.0,False,13116.98,3435.1,97.86,11.66,2.0,0.0,0,84,176,80,80,11,,Portfolio forecast WAPE was 46.56% against realized demand. Lost 77 sales units across the portfolio.,1,6,batch_001,Batch market 001
7,Team 06,Sponsorship Growth,3,1,0,0,0,382,408.13,26.13,34.05,0.0834,139,122.44,353,353,532,66.35,35.46,0.0371,338,408.13,347,63,76,0,509,0.7123,42488.16,15531.48,19436.32,1018.0,581.23,760.0,2088.0,1500.0,539.0,21724.14,3500.0,0.0,51745.36,24500.0,True,41454.03,1034.13,20.0,0.0,2.0,11.95,9,399,463,353,438,79,,"Portfolio forecast WAPE was 8.34% against realized demand. Lost 63 sales units across the portfolio. Carried 76 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
8,Team 01,Sponsorship Growth,3,1,0,0,0,289,484.81,195.81,195.81,0.4039,238,140.01,289,289,430,67.21,40.43,0.0246,281,484.81,281,203,35,0,202,0.5406,39342.0,12614.16,16097.36,404.0,311.47,350.0,936.0,2500.0,176.0,9366.86,1000.0,0.0,110853.24,8000.0,False,33388.99,5953.01,36.72,0.0,2.0,14.42,0,179,312,289,312,35,,"Portfolio forecast WAPE was 40.39% against realized demand. Lost 203 sales units across the portfolio. Carried 35 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
8,Team 02,Engineering Challenger,1,0,0,1,1,41,280.82,239.82,239.82,0.854,241,117.6,40,40,367,10.9,44.09,0.0172,39,280.82,39,237,4,0,189,0.1389,4586.4,1675.42,2384.8,378.0,30.27,40.0,648.0,0,1232.0,16733.01,7000.0,0.0,114236.71,56000.0,True,6388.49,-1802.09,12.72,0.0,3.0,0.0,0,106,123,40,38,0,"Launched Team 02 NextGen into slot C, replacing Team 02 NextGen","Launched Team 02 NextGen into slot C, replacing Team 02 NextGen Portfolio forecast WAPE was 85.40% against realized demand. Lost 237 sales units across the portfolio. Carried 4 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
8,Team 03,Low-Cost Volume,3,1,0,0,0,275,474.83,199.83,199.83,0.4208,259,102.1,299,245,424,57.78,30.68,0.0521,230,474.83,230,243,16,0,0,0.4686,23483.46,7516.6,9706.59,0.0,539.16,160.0,0.0,750.0,0.0,0.0,0.0,0.0,91399.43,0.0,False,18672.35,4811.11,24.87,0.0,1.33,18.96,0,0,245,245,245,16,,Portfolio forecast WAPE was 42.08% against realized demand. Lost 243 sales units across the portfolio. Carried 16 backlog units into next round.,1,6,batch_001,Batch market 001
8,Team 04,Community / Club,3,1,0,0,0,352,494.54,142.54,142.54,0.2882,266,120.22,298,298,597,49.92,33.55,0.0243,290,494.54,290,203,63,0,684,0.5201,34863.36,12983.85,14968.45,1368.0,317.22,630.0,2592.0,4000.0,1760.0,34948.2,10000.0,0.0,103837.34,80000.0,True,38619.52,-3756.16,22.74,0.0,1.67,30.17,0,595,387,298,387,63,,"Portfolio forecast WAPE was 28.82% against realized demand. Lost 203 sales units across the portfolio. Carried 63 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
8,Team 05,Premium Quality,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,361,0.0,49.21,0.0,0,0.0,0,0,0,0,260,1.0,0.0,0.0,0.0,0.0,0.0,0.0,936.0,3000.0,0.0,12794.6,0.0,0.0,92473.52,0.0,False,3936.0,-3936.0,0.0,17.71,2.0,0.0,0,180,80,0,0,0,,Portfolio forecast WAPE was 0.00% against realized demand.,1,6,batch_001,Batch market 001
