round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes,run_id,team_count,market_scenario,market_label
9,Team 01,Sponsorship Growth,3,0,0,1,1,415,372.74,-42.26,49.6,0.1331,30,135.41,352,352,672,52.38,45.25,0.0331,339,372.74,341,0,30,410,894,0.9148,46174.08,20724.5,23287.32,4248.0,506.79,300.0,2736.0,0,2398.49,102483.76,10000.0,0.0,11907.57,109022.14,True,54201.1,-8027.02,4.85,67.02,2.33,15.4,412,788,458,352,458,0,"Launched Team 01 NextGen into slot C, replacing Team 01 NextGen","Launched Team 01 NextGen into slot C, replacing Team 01 NextGen Portfolio forecast WAPE was 13.31% against realized demand. Carried 30 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",70,6,batch_070,Batch market 070
9,Team 02,Engineering Challenger,1,1,0,0,0,40,142.78,102.78,102.78,0.7198,102,120.96,41,41,414,9.9,53.18,0.005,40,142.78,40,99,3,0,249,0.2802,4838.4,2180.38,2736.75,498.0,9.0,30.0,1008.0,0.0,0.0,13241.82,0.0,0.0,63370.99,0.0,False,6462.13,-1623.73,-2.19,40.74,2.33,0.0,0,290,0,41,41,0,,Portfolio forecast WAPE was 71.98% against realized demand. Lost 99 sales units across the portfolio. Carried 3 backlog units into next round.,70,6,batch_070,Batch market 070
9,Team 03,Low-Cost Volume,3,1,0,0,0,480,266.18,-213.82,213.82,0.8033,0,89.8,444,444,774,57.36,31.42,0.0668,413,266.18,265,0,0,1550,864,0.9956,23796.08,17312.42,21197.24,11028.0,794.36,0.0,2736.0,1500.0,4269.37,183687.8,3500.0,31541.31,0.0,225603.67,True,58837.39,-35041.31,-58.52,0.0,1.33,11.16,1402,757,551,444,551,0,,"Portfolio forecast WAPE was 80.33% against realized demand. Used $3,500.00 of planned borrowing. Auto-borrowed $31,541.31 to cover a cash shortfall. Liquidity stress flagged this round.",70,6,batch_070,Batch market 070
9,Team 04,Community / Club,3,0,0,1,1,252,369.75,117.75,117.75,0.3185,94,123.78,252,252,414,60.87,38.68,0.0239,245,369.75,274,64,30,314,217,0.741,33916.0,10520.96,13450.09,2317.99,293.03,300.0,864.0,0,198.0,38648.32,1000.0,0.0,26699.06,9000.0,True,27944.07,5971.93,35.23,26.92,1.67,16.94,343,197,272,252,272,0,"Launched Team 04 NextGen into slot C, replacing Club Spin","Launched Team 04 NextGen into slot C, replacing Club Spin Portfolio forecast WAPE was 31.85% against realized demand. Lost 64 sales units across the portfolio. Carried 30 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round.",70,6,batch_070,Batch market 070
9,Team 05,Premium Quality,1,1,1,0,0,36,141.91,105.91,105.91,0.7463,111,144.9,35,35,337,10.39,52.66,0.005,34,141.91,34,107,4,0,160,0.233,4926.6,1737.78,2515.1,320.0,7.65,40.0,576.0,9000.0,1386.0,17875.6,7000.0,0.0,105521.4,63000.0,True,15582.53,-10655.93,19.59,0.0,2.33,0.0,0,162,33,35,33,4,,"Portfolio forecast WAPE was 74.63% against realized demand. Lost 107 sales units across the portfolio. Carried 4 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",70,6,batch_070,Batch market 070
9,Team 06,Sponsorship Growth,3,1,0,0,0,219,327.65,108.65,108.65,0.3316,145,141.47,238,195,323,60.37,45.66,0.0256,189,327.65,195,132,13,0,0,0.5724,27586.92,8903.7,11585.57,0.0,225.33,130.0,0.0,750.0,0.0,0.0,0.0,0.0,102019.36,0.0,False,21594.6,5992.32,35.24,27.52,2.0,9.92,6,0,195,195,195,13,,Portfolio forecast WAPE was 33.16% against realized demand. Lost 132 sales units across the portfolio. Carried 13 backlog units into next round.,70,6,batch_070,Batch market 070
10,Team 01,Sponsorship Growth,3,1,0,0,0,415,386.63,-28.37,47.95,0.124,58,136.1,352,352,710,49.58,46.12,0.0294,340,386.63,356,0,58,394,1000,0.8545,48451.2,21122.96,23707.28,4364.01,469.38,580.0,2736.0,0.0,2618.49,108680.59,10000.0,0.0,14760.65,119022.14,True,55598.12,-7146.92,8.85,64.87,2.33,14.92,410,894,458,352,458,30,,"Portfolio forecast WAPE was 12.40% against realized demand. Carried 58 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",70,6,batch_070,Batch market 070
10,Team 02,Engineering Challenger,1,1,1,0,0,40,156.75,116.75,116.75,0.7448,119,120.96,41,41,428,9.58,54.19,0.005,40,156.75,40,116,3,0,249,0.2504,4838.4,2221.79,2785.13,498.0,9.0,30.0,1008.0,3000.0,0.0,13493.31,0.0,0.0,58657.47,0.0,False,9551.92,-4713.52,-4.44,19.89,2.33,0.0,0,249,41,41,41,3,,Portfolio forecast WAPE was 74.48% against realized demand. Lost 116 sales units across the portfolio. Carried 3 backlog units into next round.,70,6,batch_070,Batch market 070
10,Team 03,Low-Cost Volume,3,1,0,0,0,480,283.64,-196.36,196.36,0.6923,0,89.79,444,444,812,54.68,32.02,0.0668,413,283.64,282,0,0,1681,971,0.9942,25320.24,17643.02,21593.31,12028.0,845.3,0.0,2736.0,1500.0,5040.28,205920.49,3500.0,32565.67,0.0,261669.34,True,61385.91,-36065.67,-52.35,0.0,1.33,11.89,1550,864,551,444,551,0,,"Portfolio forecast WAPE was 69.23% against realized demand. Used $3,500.00 of planned borrowing. Auto-borrowed $32,565.67 to cover a cash shortfall. Liquidity stress flagged this round.",70,6,batch_070,Batch market 070
10,Team 04,Community / Club,3,1,0,0,0,258,379.56,121.56,121.56,0.3203,116,123.96,258,258,426,60.56,39.42,0.0214,251,379.56,292,85,31,273,231,0.713,36196.0,10998.18,13998.69,2100.0,282.51,310.0,864.0,0.0,220.0,36180.25,1000.0,0.0,35121.68,10000.0,True,28773.38,7422.62,37.39,20.01,1.67,16.3,314,217,272,258,279,30,,"Portfolio forecast WAPE was 32.03% against realized demand. Lost 85 sales units across the portfolio. Carried 31 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round.",70,6,batch_070,Batch market 070
