run_id,team_count,round_count,strategy_offset,archetype_offset,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
75,5,4,3,2,batch_075,Team 03,Community / Club,aggressive_growth,Aggressive growth,5,5,2.0,-11074.12,30176.64,41250.76,245,0.7107,0.4501,17680.78,40000.0,-22319.22,True,54.47,32,67,339
76,5,4,2,0,batch_076,Team 02,Sponsorship Growth,innovation_leap,Innovation leap,1,2,62.0,11911.87,39589.2,27677.33,269,0.3878,0.5787,81548.2,28000.0,53548.2,True,0.0,395,28,0
76,5,4,2,0,batch_076,Team 01,Premium Quality,balanced_sop,Balanced S&OP,2,1,65.0,10012.27,34460.0,24447.73,198,0.437,0.5339,55389.58,4000.0,51389.58,False,4.19,230,24,0
76,5,4,2,0,batch_076,Team 03,Engineering Challenger,cash_conservative,Cash conservative,3,3,40.0,8842.82,22167.66,13324.84,132,0.3025,0.6467,66293.45,0.0,66293.45,False,0.0,294,9,0
76,5,4,2,0,batch_076,Team 05,Community / Club,premium_quality,Premium quality,4,4,35.0,7936.16,32639.76,24703.6,240,0.3767,0.6111,57704.85,0.0,57704.85,False,0.0,381,15,0
76,5,4,2,0,batch_076,Team 04,Low-Cost Volume,aggressive_growth,Aggressive growth,5,5,32.0,-6575.68,40779.84,47355.52,424,0.6637,0.2443,26858.85,40000.0,-13141.150000000001,True,0.0,117,96,0
77,8,4,3,2,batch_077,Team 01,Engineering Challenger,innovation_leap,Innovation leap,1,4,52.0,11102.37,30088.8,18986.43,174,0.5164,0.4363,75399.1,28000.0,47399.100000000006,True,46.85,143,18,0
77,8,4,3,2,batch_077,Team 04,Premium Quality,premium_quality,Premium quality,2,2,80.0,9310.08,33687.36,24377.28,179,0.8038,0.1528,64101.03,0.0,64101.03,False,71.09,29,14,21
77,8,4,3,2,batch_077,Team 06,Engineering Challenger,balanced_sop,Balanced S&OP,3,1,82.9,8645.89,32617.0,23971.11,198,0.8519,0.0999,56029.53,4000.0,52029.53,False,55.4,9,24,0
77,8,4,3,2,batch_077,Team 08,Community / Club,cash_conservative,Cash conservative,4,3,54.3,7963.83,22996.92,15033.09,179,0.6457,0.2421,49743.65,0.0,49743.65,False,15.11,85,12,0
77,8,4,3,2,batch_077,Team 07,Low-Cost Volume,innovation_leap,Innovation leap,5,6,29.1,7159.45,34892.24,27732.79,240,0.8059,0.4955,33210.57,28000.0,5210.57,True,32.7,23,34,158
77,8,4,3,2,batch_077,Team 02,Low-Cost Volume,cash_conservative,Cash conservative,6,5,45.7,3317.89,23209.08,19891.19,226,0.8285,0.2863,40252.83,0.0,40252.83,False,17.32,29,17,71
77,8,4,3,2,batch_077,Team 05,Sponsorship Growth,low_cost_volume,Low-cost volume,7,7,17.7,-1306.53,41479.68,42786.21,332,0.953,0.5639,2193.47,15558.26,-13364.79,True,0.0,0,14,36
77,8,4,3,2,batch_077,Team 03,Community / Club,aggressive_growth,Aggressive growth,8,8,6.3,-8462.41,29865.6,38328.01,243,0.7193,0.4515,29176.78,40000.0,-10823.220000000001,True,20.24,27,67,109
78,4,4,2,0,batch_078,Team 02,Sponsorship Growth,innovation_leap,Innovation leap,1,2,52.0,7571.85,39589.2,32017.35,269,0.3204,0.6543,64191.56,28000.0,36191.56,True,0.0,541,28,0
78,4,4,2,0,batch_078,Team 03,Engineering Challenger,cash_conservative,Cash conservative,2,3,46.7,6760.74,22167.66,15406.92,132,0.2486,0.7107,57778.37,0.0,57778.37,False,0.0,389,9,0
78,4,4,2,0,batch_078,Team 01,Premium Quality,balanced_sop,Balanced S&OP,3,1,53.3,6547.12,34460.0,27912.88,198,0.362,0.6176,42764.33,4000.0,38764.33,False,0.0,324,24,0
78,4,4,2,0,batch_078,Team 04,Low-Cost Volume,aggressive_growth,Aggressive growth,4,4,32.0,-12861.34,40779.84,53641.18,424,0.5357,0.2289,4525.95,40000.0,-35474.05,True,0.0,270,96,0
79,8,4,2,3,batch_079,Team 08,Premium Quality,innovation_leap,Innovation leap,1,5,49.1,11695.37,31812.9,20117.53,174,0.4184,0.5476,76425.59,28000.0,48425.59,True,37.18,223,18,0
79,8,4,2,3,batch_079,Team 02,Community / Club,innovation_leap,Innovation leap,2,3,54.9,10491.08,31607.73,21116.65,235,0.6354,0.3431,63718.51,28000.0,35718.51,True,29.95,110,24,0
79,8,4,2,3,batch_079,Team 03,Premium Quality,cash_conservative,Cash conservative,3,2,57.1,8899.99,23445.72,14545.73,132,0.4954,0.4134,61652.92,0.0,61652.92,False,22.62,124,9,0
79,8,4,2,3,batch_079,Team 05,Engineering Challenger,premium_quality,Premium quality,4,1,65.7,8544.72,32387.04,23842.32,182,0.6464,0.3273,63650.21,0.0,63650.21,False,42.54,84,14,0
79,8,4,2,3,batch_079,Team 07,Community / Club,balanced_sop,Balanced S&OP,5,4,54.3,5122.41,31702.0,26579.59,250,0.6668,0.285,33743.82,4000.0,29743.82,False,18.11,92,32,16
79,8,4,2,3,batch_079,Team 04,Sponsorship Growth,aggressive_growth,Aggressive growth,6,6,43.4,-5177.83,45290.88,50468.71,330,0.787,0.264,31718.03,40000.0,-8281.970000000001,True,18.03,9,79,53
79,8,4,2,3,batch_079,Team 01,Low-Cost Volume,balanced_sop,Balanced S&OP,7,7,23.4,-8167.17,27016.0,35183.17,263,0.7808,0.4726,3937.2,4000.0,-62.80000000000018,True,17.33,27,46,223
79,8,4,2,3,batch_079,Team 06,Low-Cost Volume,low_cost_volume,Low-cost volume,8,8,12.0,-15505.04,27242.16,42747.2,300,0.8543,1.0471,0.0,33519.53,-33519.53,True,0.0,0,49,134
80,8,4,4,3,batch_080,Team 06,Low-Cost Volume,innovation_leap,Innovation leap,1,4,52.0,10272.22,37792.13,27519.91,171,0.9585,0.9339,17272.22,38235.05,-20962.83,True,43.12,0,5,331
80,8,4,4,3,batch_080,Team 07,Community / Club,cash_conservative,Cash conservative,2,2,71.4,4465.95,20224.56,15758.61,155,0.7991,0.336,37660.47,0.0,37660.47,False,57.96,26,12,228
80,8,4,4,3,batch_080,Team 03,Premium Quality,premium_quality,Premium quality,3,1,80.0,1405.75,26159.76,24754.01,137,0.9923,0.3038,23313.39,0.0,23313.39,False,85.99,0,0,243
80,8,4,4,3,batch_080,Team 05,Engineering Challenger,balanced_sop,Balanced S&OP,4,3,63.4,-1570.1,23310.0,24880.1,140,0.9947,0.4211,19247.51,4000.0,15247.509999999998,True,75.68,0,0,296
80,8,4,4,3,batch_080,Team 01,Low-Cost Volume,cash_conservative,Cash conservative,5,5,37.7,-5165.58,16630.08,21795.66,157,0.9888,0.8327,3465.48,0.0,3465.48,True,42.23,0,0,577
80,8,4,4,3,batch_080,Team 08,Premium Quality,aggressive_growth,Aggressive growth,6,6,20.6,-12958.86,23775.36,36734.22,140,0.9911,0.968,12237.64,40000.0,-27762.36,True,82.92,0,0,438
80,8,4,4,3,batch_080,Team 02,Community / Club,aggressive_growth,Aggressive growth,7,8,12.0,-16349.08,22930.56,39279.64,183,0.9913,1.0205,0.0,40499.06,-40499.06,True,67.35,0,0,569
80,8,4,4,3,batch_080,Team 04,Sponsorship Growth,low_cost_volume,Low-cost volume,8,7,14.9,-19321.66,23638.56,42960.22,186,0.9937,1.2172,0.0,25438.4,-25438.4,True,48.41,0,0,381
81,8,4,0,1,batch_081,Team 05,Premium Quality,cash_conservative,Cash conservative,1,2,77.1,12135.36,30185.88,18050.52,169,0.9304,0.1687,61483.0,0.0,61483.0,False,84.22,3,9,55
81,8,4,0,1,batch_081,Team 04,Community / Club,innovation_leap,Innovation leap,2,4,49.1,10520.69,33787.21,23266.52,218,0.7718,0.2851,40968.53,28000.0,12968.529999999999,True,54.47,40,24,73
81,8,4,0,1,batch_081,Team 07,Engineering Challenger,premium_quality,Premium quality,3,1,80.0,6243.58,32452.92,26209.34,181,0.9947,0.0757,33812.42,0.0,33812.42,False,77.84,0,0,122
81,8,4,0,1,batch_081,Team 01,Sponsorship Growth,premium_quality,Premium quality,4,3,71.4,4564.15,42323.04,37758.89,274,0.9962,0.1323,22368.39,0.0,22368.39,False,77.93,0,0,236
81,8,4,0,1,batch_081,Team 02,Engineering Challenger,low_cost_volume,Low-cost volume,5,5,46.3,-4965.1,27723.52,32688.62,191,0.9982,0.3797,20236.65,14000.0,6236.6500000000015,True,74.92,0,0,128
81,8,4,0,1,batch_081,Team 03,Low-Cost Volume,balanced_sop,Balanced S&OP,6,6,17.7,-16538.2,24172.0,40710.2,233,0.993,0.6365,0.0,41870.68,-41870.68,True,43.58,0,0,689
81,8,4,0,1,batch_081,Team 06,Sponsorship Growth,aggressive_growth,Aggressive growth,7,7,14.9,-19819.68,36727.68,56547.36,267,0.9935,0.6334,0.0,59498.74,-59498.74,True,68.16,0,0,510
81,8,4,0,1,batch_081,Team 08,Low-Cost Volume,low_cost_volume,Low-cost volume,8,8,3.4,-30063.17,18447.44,48510.61,202,0.9945,1.4911,0.0,65069.89,-65069.89,True,14.27,0,0,566
82,4,4,2,3,batch_082,Team 03,Premium Quality,cash_conservative,Cash conservative,1,2,66.7,13670.84,28761.96,15091.12,162,0.3616,0.656,81789.8,0.0,81789.8,False,7.93,276,9,0
82,4,4,2,3,batch_082,Team 01,Low-Cost Volume,balanced_sop,Balanced S&OP,2,1,73.3,5447.09,37248.0,31800.91,372,0.568,0.3684,56549.02,4000.0,52549.02,False,7.23,235,46,0
