run_id,team_count,round_count,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
38,7,4,batch_038,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,5,28.7,-1563.11,36652.25,38215.36,233,0.9973,0.4767,5436.89,28941.07,-23504.18,True,45.97,0,0,266
38,7,4,batch_038,Team 06,Premium Quality,aggressive_growth,Aggressive growth,6,6,25.3,-9303.23,29224.32,38527.55,172,0.9994,0.6152,21656.34,40000.0,-18343.66,True,81.64,0,0,335
38,7,4,batch_038,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,7,7,12.0,-12919.99,33454.08,46374.07,263,0.9958,0.6863,0.0,17767.69,-17767.69,True,45.11,0,0,202
39,8,4,batch_039,Team 01,Premium Quality,premium_quality,Premium quality,1,2,77.1,9265.42,34024.32,24758.9,181,0.7891,0.1643,60899.02,0.0,60899.02,False,68.92,33,14,31
39,8,4,batch_039,Team 07,Sponsorship Growth,premium_quality,Premium quality,2,1,82.9,9099.68,43882.56,34782.88,293,0.833,0.1391,54980.88,0.0,54980.88,False,60.33,35,23,72
39,8,4,batch_039,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,71.4,8021.41,32617.0,24595.59,198,0.8203,0.0987,53345.07,4000.0,49345.07,False,54.06,18,24,0
39,8,4,batch_039,Team 05,Community / Club,cash_conservative,Cash conservative,4,4,45.7,7298.75,22996.92,15698.17,179,0.6151,0.2796,47057.89,0.0,47057.89,False,17.68,98,12,0
39,8,4,batch_039,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,5,5,40.6,4634.18,34957.12,30322.94,241,0.9342,0.2879,23543.77,14000.0,9543.77,True,25.52,0,16,0
39,8,4,batch_039,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,6,6,20.6,-1131.27,36732.57,37863.84,260,0.8251,0.3309,19823.4,28000.0,-8176.5999999999985,True,36.38,20,34,158
39,8,4,batch_039,Team 06,Premium Quality,aggressive_growth,Aggressive growth,7,7,17.7,-1924.26,35049.6,36973.86,207,0.7998,0.2881,50504.03,40000.0,10504.029999999999,True,56.47,1,50,46
