round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes,run_id,team_count,market_scenario,market_label
1,Team 06,team_06_C,Club Prestige,C,mid,maturity,4,1,club,132.48,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.67,0.0,0,0,0,-2,0.857,0.0,0.0,False,,False,0.0,,3,8,batch_003,Batch market 003
1,Team 07,team_07_A,Momentum Edge,A,mid,launch,1,2,power,157.68,108,110,110,0.0207,107,82.38,82.38,82,0,25,0.9954,-25.62,25.62,-0.2373,0.3111,12929.76,5596.8,173.6,76.33,4508.9,0.0,438.48,65.81,1190.96,0,0,0,-1,0.928,0.0,0.0,False,,False,0.0,,3,8,batch_003,Batch market 003
1,Team 07,team_07_B,Rise Power,B,premium,growth,2,3,power,192.24,76,78,78,0.0177,76,92.17,92.17,76,0,0,0.8246,16.17,16.17,0.2127,0.1754,14610.24,4065.36,16.73,60.63,3197.22,160.0,310.92,99.13,5742.43,0,0,16,0,1.0,0.0,0.0,False,,False,0.0,Carried 16 backlog units.,3,8,batch_003,Batch market 003
1,Team 07,team_07_C,Court Wave,C,beginner,growth,3,1,entry,112.32,99,101,101,0.0201,98,87.06,87.06,87,0,11,0.9994,-11.94,11.94,-0.1207,0.1372,9771.84,5054.04,87.67,78.65,4139.99,0.0,402.6,21.29,-989.46,0,0,0,-2,0.932,0.0,0.0,False,,False,0.0,,3,8,batch_003,Batch market 003
1,Team 08,team_08_A,Vector X,A,premium,growth,2,3,engineered,161.92,119,110,110,0.0083,109,92.06,92.06,92,0,17,0.9993,-26.94,26.94,-0.2264,0.2926,14896.64,6015.9,143.48,34.25,4566.48,0.0,843.93,73.8,2528.93,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,,3,8,batch_003,Batch market 003
1,Team 08,team_08_B,Axis Control,B,mid,launch,1,2,engineered,131.12,145,134,134,0.0188,131,88.77,88.77,88,0,43,0.9914,-56.23,56.23,-0.3878,0.6335,11538.56,7008.2,308.52,74.5,5562.81,0.0,1028.07,45.39,-3179.87,0,0,0,-1,0.928,0.0,0.0,False,,False,0.0,,3,8,batch_003,Batch market 003
1,Team 08,team_08_C,Baseline Drive,C,beginner,maturity,5,1,entry,98.56,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.03,0.0,0,0,0,-2,0.932,0.0,0.0,False,,False,0.0,,3,8,batch_003,Batch market 003
2,Team 01,team_01_A,Elite Spin Pro,A,premium,growth,2,3,tour,209.52,85,87,87,0.005,86,101.73,101.73,87,0,0,0.8552,16.73,16.73,0.1968,0.1644,18228.24,5095.59,71.87,19.57,3940.23,140.0,442.57,105.66,6973.69,1,0,14,0,1.0,0.0,0.0,False,,False,0.0,Carried 14 backlog units.,3,8,batch_003,Batch market 003
2,Team 01,team_01_B,Control Tour,B,mid,growth,3,2,tour,168.48,95,97,97,0.005,96,95.84,95.84,95,0,10,0.9913,0.84,0.84,0.0088,0.0087,16005.6,5516.39,140.13,21.38,4393.13,0.0,493.43,66.32,3985.86,9,0,0,-1,0.926,0.0,0.0,False,,False,0.0,,3,8,batch_003,Batch market 003
2,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.1,0.0,0,0,0,-2,0.853,0.0,0.0,False,,False,0.0,,3,8,batch_003,Batch market 003
2,Team 02,team_02_A,Momentum Edge,A,mid,growth,2,2,power,128.48,158,146,0,0.0392,0,99.9,99.9,31,40,0,0.3103,-58.1,58.1,-0.3677,0.5816,3982.88,0.0,0.0,54.67,0.0,280.0,0.0,84.05,3061.8,31,0,28,-1,0.926,2.51,0.0,False,,False,0.0,Production capped from 146 to 0 by shared capacity or materials. Lost 40 sales units. Carried 28 backlog units.,3,8,batch_003,Batch market 003
2,Team 02,team_02_B,Rise Power,B,premium,growth,3,3,power,156.64,112,104,0,0.0388,0,88.58,88.58,0,56,0,0.0,-23.42,23.42,-0.2091,0.2645,0.0,0.0,0.0,0.0,0.0,380.0,0.0,112.21,-899.93,0,6,38,0,1.0,2.86,0.0,False,,False,0.0,Production capped from 104 to 0 by shared capacity or materials. Lost 56 sales units. Carried 38 backlog units.,3,8,batch_003,Batch market 003
2,Team 02,team_02_C,Court Wave,C,beginner,maturity,4,1,entry,91.52,145,134,0,0.0441,0,67.06,67.06,26,24,0,0.3877,-77.94,77.94,-0.5375,1.1622,2379.52,0.0,0.0,51.61,0.0,170.0,0.0,47.09,1764.26,26,0,17,-2,0.93,0.0,5.38,False,,False,0.0,Production capped from 134 to 0 by shared capacity or materials. Lost 24 sales units. Carried 17 backlog units.,3,8,batch_003,Batch market 003
