run_id,team_count,round_count,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
43,9,4,batch_043,Batch market 043,1.7183,-0.06,0.0604,-0.0728,0.1319,0.2067,Moderate,-0.1068,0.2241,-1,0.354,Team 05,Cash conservative,7504.65,Team 01,Premium quality,72.5,Team 08,Team 03,Team 05,-1282.29,6
44,9,4,batch_044,Batch market 044,0.7928,0.07,0.1332,0.0716,0.1045,0.0855,Low,0.0066,0.3503,0,0.2014,Team 04,Innovation leap,10048.98,Team 05,Cash conservative,75.0,Team 06,Team 05,Team 05,-9498.1,8
45,8,4,batch_045,Batch market 045,1.5342,-0.0381,0.1169,0.0092,0.0499,-0.018,Moderate,0.2526,0.0635,0,0.0762,Team 01,Premium quality,10841.77,Team 07,Premium quality,80.0,Team 08,Team 03,Team 01,6289.47,4
46,5,4,batch_046,Batch market 046,1.022,-0.0363,-0.0218,-0.0484,0.0471,0.2229,High,0.1034,0.1158,0,-0.0012,Team 01,Premium quality,7111.03,Team 01,Premium quality,80.0,Team 02,Team 03,Team 01,3459.48,2
47,4,4,batch_047,Batch market 047,1.6678,0.0431,-0.0939,0.0339,0.0662,0.2299,High,0.2324,0.0902,-1,0.3139,Team 01,Premium quality,6995.11,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,2863.48,2
48,7,4,batch_048,Batch market 048,1.7382,0.0065,-0.1238,-0.0761,0.0828,0.1486,High,-0.1808,0.3296,-1,0.1899,Team 01,Premium quality,8329.98,Team 01,Premium quality,66.7,Team 02,Team 06,Team 01,5150.55,3
49,4,4,batch_049,Batch market 049,1.7284,0.0817,-0.0629,-0.0728,-0.0758,0.1957,Moderate,0.2044,0.1223,0,0.0288,Team 01,Premium quality,7554.47,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,3732.04,1
50,4,4,batch_050,Batch market 050,1.627,-0.0545,-0.0232,0.062,0.0275,0.1862,High,0.213,0.0567,0,0.1893,Team 01,Premium quality,7720.07,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,3869.8,2
51,10,4,batch_051,Batch market 051,1.4721,-0.0111,-0.0648,-0.0467,-0.0574,0.1811,High,0.1608,0.2544,-1,0.1965,Team 10,Innovation leap,9184.92,Team 01,Premium quality,88.9,Team 08,Team 03,Team 01,-290.94,6
52,9,4,batch_052,Batch market 052,0.8837,-0.0333,-0.0931,0.0433,-0.1248,-0.0265,Moderate,-0.2117,-0.0703,0,0.3281,Team 04,Innovation leap,9509.49,Team 05,Cash conservative,75.0,Team 04,Team 05,Team 05,-9819.78,7
