team_name,archetype,cash_balance,inventory_units,raw_material_inventory,backlog_units,capacity_units,reputation_score,completed_rounds,last_decision,open_material_orders,cumulative_profit,short_term_debt_balance,interest_expense_last_round,liquidity_warning_flag,working_capital_stress_score
Team 01,Premium Quality,78688.36,0,223,3,416,18.48,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","{'firm_decision': {'team_name': 'Team 01', 'archetype': 'Premium Quality', 'overtime_capacity_units': 10, 'capacity_expansion_units': 13, 'raw_material_order_qty': 37, 'supplier_mix_offshore_pct': 0.0, 'supplier_mix_balanced_pct': 30.0, 'supplier_mix_premium_pct': 70.0, 'expedited_order_share_pct': 25.0, 'max_backorder_units': 3, 'planned_borrowing_amount': 0.0}, 'product_decisions': [{'product_id': 'team_01_A', 'team_name': 'Team 01', 'slot_name': 'A', 'product_name': 'Elite Spin Pro', 'is_active': False, 'target_segment': 'premium', 'selling_price_per_unit': 209.52, 'planned_production_units': 0, 'qc_budget_per_unit': 8.7, 'target_finished_goods_inventory': 15, 'forecast_units': 0, 'retire_flag': True}, {'product_id': 'team_01_B', 'team_name': 'Team 01', 'slot_name': 'B', 'product_name': 'Control Tour', 'is_active': False, 'target_segment': 'mid', 'selling_price_per_unit': 168.48, 'planned_production_units': 0, 'qc_budget_per_unit': 7.2, 'target_finished_goods_inventory': 17, 'forecast_units': 0, 'retire_flag': True}, {'product_id': 'team_01_C', 'team_name': 'Team 01', 'slot_name': 'C', 'product_name': 'Team 01 NextGen', 'is_active': True, 'target_segment': 'premium', 'selling_price_per_unit': 149.04, 'planned_production_units': 37, 'qc_budget_per_unit': 5.7, 'target_finished_goods_inventory': 8, 'forecast_units': 36, 'retire_flag': False}], 'projects': [{'project_id': 'team_01_P1', 'team_name': 'Team 01', 'project_slot_name': 'P1', 'project_name': 'Team 01 NextGen', 'target_segment': 'premium', 'target_tech_generation': 3, 'intended_slot_name': 'C', 'required_investment': 16000.0, 'cumulative_investment': 33000.0, 'investment_this_round': 0.0, 'testing_intensity': 0.0, 'launch_readiness_score': 76.90018909328542, 'planned_launch_round': 3, 'earliest_launch_round': 3, 'status': 'pilot', 'cannibalization_group': 'premium_nextgen', 'projected_base_defect_modifier': 0.002, 'projected_demand_fit_modifier': 1.08, 'created_round': 1, 'launched_round': 11, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}, {'project_id': 'team_01_P2', 'team_name': 'Team 01', 'project_slot_name': 'P2', 'project_name': '', 'target_segment': 'mid', 'target_tech_generation': 2, 'intended_slot_name': 'C', 'required_investment': 0.0, 'cumulative_investment': 0.0, 'investment_this_round': 0.0, 'testing_intensity': 0.0, 'launch_readiness_score': 0.0, 'planned_launch_round': 1, 'earliest_launch_round': 2, 'status': 'concept', 'cannibalization_group': '', 'projected_base_defect_modifier': 0.0, 'projected_demand_fit_modifier': 1.0, 'created_round': 1, 'launched_round': None, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}]}","[{'quantity': 37, 'arrival_round': 13, 'placed_round': 12, 'weighted_material_unit_cost': 54.33, 'weighted_lead_time': 1.07}]",53104.36,0.0,0.0,False,225.81
Team 02,Sponsorship Growth,32745.99,0,1136,76,668,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","{'firm_decision': {'team_name': 'Team 02', 'archetype': 'Sponsorship Growth', 'overtime_capacity_units': 38, 'capacity_expansion_units': 29, 'raw_material_order_qty': 438, 'supplier_mix_offshore_pct': 70.0, 'supplier_mix_balanced_pct': 25.0, 'supplier_mix_premium_pct': 5.0, 'expedited_order_share_pct': 5.0, 'max_backorder_units': 76, 'planned_borrowing_amount': 3500.0}, 'product_decisions': [{'product_id': 'team_02_A', 'team_name': 'Team 02', 'slot_name': 'A', 'product_name': 'Momentum Edge', 'is_active': True, 'target_segment': 'mid', 'selling_price_per_unit': 128.48, 'planned_production_units': 135, 'qc_budget_per_unit': 2.7, 'target_finished_goods_inventory': 35, 'forecast_units': 146, 'retire_flag': False}, {'product_id': 'team_02_B', 'team_name': 'Team 02', 'slot_name': 'B', 'product_name': 'Rise Power', 'is_active': True, 'target_segment': 'premium', 'selling_price_per_unit': 156.64, 'planned_production_units': 95, 'qc_budget_per_unit': 3.2, 'target_finished_goods_inventory': 22, 'forecast_units': 103, 'retire_flag': False}, {'product_id': 'team_02_C', 'team_name': 'Team 02', 'slot_name': 'C', 'product_name': 'Court Wave', 'is_active': True, 'target_segment': 'beginner', 'selling_price_per_unit': 91.52, 'planned_production_units': 123, 'qc_budget_per_unit': 1.7, 'target_finished_goods_inventory': 38, 'forecast_units': 133, 'retire_flag': False}], 'projects': [{'project_id': 'team_02_P1', 'team_name': 'Team 02', 'project_slot_name': 'P1', 'project_name': 'Team 02 NextGen', 'target_segment': 'mid', 'target_tech_generation': 3, 'intended_slot_name': 'C', 'required_investment': 14700.0, 'cumulative_investment': 18000.0, 'investment_this_round': 1500.0, 'testing_intensity': 0.2, 'launch_readiness_score': 73.10974328274077, 'planned_launch_round': 3, 'earliest_launch_round': 3, 'status': 'pilot', 'cannibalization_group': 'mid_nextgen', 'projected_base_defect_modifier': 0.002, 'projected_demand_fit_modifier': 1.08, 'created_round': 1, 'launched_round': None, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}, {'project_id': 'team_02_P2', 'team_name': 'Team 02', 'project_slot_name': 'P2', 'project_name': '', 'target_segment': 'mid', 'target_tech_generation': 2, 'intended_slot_name': 'C', 'required_investment': 0.0, 'cumulative_investment': 0.0, 'investment_this_round': 0.0, 'testing_intensity': 0.0, 'launch_readiness_score': 0.0, 'planned_launch_round': 1, 'earliest_launch_round': 2, 'status': 'concept', 'cannibalization_group': '', 'projected_base_defect_modifier': 0.0, 'projected_demand_fit_modifier': 1.0, 'created_round': 1, 'launched_round': None, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}]}","[{'quantity': 438, 'arrival_round': 13, 'placed_round': 11, 'weighted_material_unit_cost': 39.23, 'weighted_lead_time': 2.01}, {'quantity': 438, 'arrival_round': 15, 'placed_round': 12, 'weighted_material_unit_cost': 40.02, 'weighted_lead_time': 2.52}]",-38438.01,42000.0,924.0,True,124.62
Team 03,Engineering Challenger,121154.89,0,354,22,434,0.72,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","{'firm_decision': {'team_name': 'Team 03', 'archetype': 'Engineering Challenger', 'overtime_capacity_units': 17, 'capacity_expansion_units': 12, 'raw_material_order_qty': 199, 'supplier_mix_offshore_pct': 20.0, 'supplier_mix_balanced_pct': 60.0, 'supplier_mix_premium_pct': 20.0, 'expedited_order_share_pct': 12.0, 'max_backorder_units': 22, 'planned_borrowing_amount': 1000.0}, 'product_decisions': [{'product_id': 'team_03_A', 'team_name': 'Team 03', 'slot_name': 'A', 'product_name': 'Vector X', 'is_active': True, 'target_segment': 'premium', 'selling_price_per_unit': 184.0, 'planned_production_units': 83, 'qc_budget_per_unit': 6.8, 'target_finished_goods_inventory': 16, 'forecast_units': 83, 'retire_flag': False}, {'product_id': 'team_03_B', 'team_name': 'Team 03', 'slot_name': 'B', 'product_name': 'Axis Control', 'is_active': True, 'target_segment': 'mid', 'selling_price_per_unit': 149.0, 'planned_production_units': 101, 'qc_budget_per_unit': 5.3, 'target_finished_goods_inventory': 22, 'forecast_units': 101, 'retire_flag': False}, {'product_id': 'team_03_C', 'team_name': 'Team 03', 'slot_name': 'C', 'product_name': 'Baseline Drive', 'is_active': False, 'target_segment': 'beginner', 'selling_price_per_unit': 112.0, 'planned_production_units': 0, 'qc_budget_per_unit': 3.3, 'target_finished_goods_inventory': 12, 'forecast_units': 0, 'retire_flag': False}], 'projects': [{'project_id': 'team_03_P1', 'team_name': 'Team 03', 'project_slot_name': 'P1', 'project_name': 'Team 03 NextGen', 'target_segment': 'premium', 'target_tech_generation': 3, 'intended_slot_name': 'C', 'required_investment': 16000.0, 'cumulative_investment': 30000.0, 'investment_this_round': 2500.0, 'testing_intensity': 0.35, 'launch_readiness_score': 82.35724182519672, 'planned_launch_round': 3, 'earliest_launch_round': 3, 'status': 'pilot', 'cannibalization_group': 'premium_nextgen', 'projected_base_defect_modifier': 0.002, 'projected_demand_fit_modifier': 1.08, 'created_round': 1, 'launched_round': None, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}, {'project_id': 'team_03_P2', 'team_name': 'Team 03', 'project_slot_name': 'P2', 'project_name': '', 'target_segment': 'mid', 'target_tech_generation': 2, 'intended_slot_name': 'C', 'required_investment': 0.0, 'cumulative_investment': 0.0, 'investment_this_round': 0.0, 'testing_intensity': 0.0, 'launch_readiness_score': 0.0, 'planned_launch_round': 1, 'earliest_launch_round': 2, 'status': 'concept', 'cannibalization_group': '', 'projected_base_defect_modifier': 0.0, 'projected_demand_fit_modifier': 1.0, 'created_round': 1, 'launched_round': None, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}]}","[{'quantity': 199, 'arrival_round': 14, 'placed_round': 12, 'weighted_material_unit_cost': 45.81, 'weighted_lead_time': 1.7}]",82010.89,12000.0,264.0,True,60.08
Team 04,Low-Cost Volume,75796.03,0,226,9,576,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","{'firm_decision': {'team_name': 'Team 04', 'archetype': 'Low-Cost Volume', 'overtime_capacity_units': 21, 'capacity_expansion_units': 13, 'raw_material_order_qty': 80, 'supplier_mix_offshore_pct': 10.0, 'supplier_mix_balanced_pct': 45.0, 'supplier_mix_premium_pct': 45.0, 'expedited_order_share_pct': 18.0, 'max_backorder_units': 9, 'planned_borrowing_amount': 7000.0}, 'product_decisions': [{'product_id': 'team_04_A', 'team_name': 'Team 04', 'slot_name': 'A', 'product_name': 'Starter Pop', 'is_active': False, 'target_segment': 'beginner', 'selling_price_per_unit': 93.45, 'planned_production_units': 0, 'qc_budget_per_unit': 3.0, 'target_finished_goods_inventory': 43, 'forecast_units': 0, 'retire_flag': True}, {'product_id': 'team_04_B', 'team_name': 'Team 04', 'slot_name': 'B', 'product_name': 'Club Value', 'is_active': False, 'target_segment': 'beginner', 'selling_price_per_unit': 102.9, 'planned_production_units': 0, 'qc_budget_per_unit': 3.2, 'target_finished_goods_inventory': 38, 'forecast_units': 0, 'retire_flag': True}, {'product_id': 'team_04_C', 'team_name': 'Team 04', 'slot_name': 'C', 'product_name': 'Team 04 NextGen', 'is_active': True, 'target_segment': 'beginner', 'selling_price_per_unit': 128.1, 'planned_production_units': 84, 'qc_budget_per_unit': 3.7, 'target_finished_goods_inventory': 23, 'forecast_units': 86, 'retire_flag': False}], 'projects': [{'project_id': 'team_04_P1', 'team_name': 'Team 04', 'project_slot_name': 'P1', 'project_name': 'Team 04 NextGen', 'target_segment': 'beginner', 'target_tech_generation': 3, 'intended_slot_name': 'C', 'required_investment': 14000.0, 'cumulative_investment': 81000.0, 'investment_this_round': 9000.0, 'testing_intensity': 0.75, 'launch_readiness_score': 92.49741992914703, 'planned_launch_round': 3, 'earliest_launch_round': 3, 'status': 'launch_ready', 'cannibalization_group': 'beginner_nextgen', 'projected_base_defect_modifier': 0.002, 'projected_demand_fit_modifier': 1.08, 'created_round': 1, 'launched_round': 10, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': 'Team 04 NextGen'}, {'project_id': 'team_04_P2', 'team_name': 'Team 04', 'project_slot_name': 'P2', 'project_name': '', 'target_segment': 'mid', 'target_tech_generation': 2, 'intended_slot_name': 'C', 'required_investment': 0.0, 'cumulative_investment': 0.0, 'investment_this_round': 0.0, 'testing_intensity': 0.0, 'launch_readiness_score': 0.0, 'planned_launch_round': 1, 'earliest_launch_round': 2, 'status': 'concept', 'cannibalization_group': '', 'projected_base_defect_modifier': 0.0, 'projected_demand_fit_modifier': 1.0, 'created_round': 1, 'launched_round': None, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}]}","[{'quantity': 80, 'arrival_round': 13, 'placed_round': 12, 'weighted_material_unit_cost': 36.19, 'weighted_lead_time': 1.39}]",-37435.97,84000.0,1848.0,True,202.76
Team 05,Community / Club,109330.8,0,97,11,300,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","{'firm_decision': {'team_name': 'Team 05', 'archetype': 'Community / Club', 'overtime_capacity_units': 3, 'capacity_expansion_units': 0, 'raw_material_order_qty': 171, 'supplier_mix_offshore_pct': 10.0, 'supplier_mix_balanced_pct': 75.0, 'supplier_mix_premium_pct': 15.0, 'expedited_order_share_pct': 5.0, 'max_backorder_units': 11, 'planned_borrowing_amount': 0.0}, 'product_decisions': [{'product_id': 'team_05_A', 'team_name': 'Team 05', 'slot_name': 'A', 'product_name': 'Club Control', 'is_active': True, 'target_segment': 'mid', 'selling_price_per_unit': 134.64, 'planned_production_units': 83, 'qc_budget_per_unit': 3.4, 'target_finished_goods_inventory': 20, 'forecast_units': 76, 'retire_flag': False}, {'product_id': 'team_05_B', 'team_name': 'Team 05', 'slot_name': 'B', 'product_name': 'Court Starter', 'is_active': True, 'target_segment': 'beginner', 'selling_price_per_unit': 104.04, 'planned_production_units': 72, 'qc_budget_per_unit': 2.6, 'target_finished_goods_inventory': 18, 'forecast_units': 66, 'retire_flag': False}, {'product_id': 'team_05_C', 'team_name': 'Team 05', 'slot_name': 'C', 'product_name': 'Club Spin', 'is_active': True, 'target_segment': 'mid', 'selling_price_per_unit': 148.92, 'planned_production_units': 53, 'qc_budget_per_unit': 4.2, 'target_finished_goods_inventory': 13, 'forecast_units': 49, 'retire_flag': False}], 'projects': [{'project_id': 'team_05_P1', 'team_name': 'Team 05', 'project_slot_name': 'P1', 'project_name': 'Team 05 NextGen', 'target_segment': 'mid', 'target_tech_generation': 3, 'intended_slot_name': 'C', 'required_investment': 14700.0, 'cumulative_investment': 9000.0, 'investment_this_round': 750.0, 'testing_intensity': 0.15, 'launch_readiness_score': 53.13144949976823, 'planned_launch_round': 3, 'earliest_launch_round': 3, 'status': 'development', 'cannibalization_group': 'mid_nextgen', 'projected_base_defect_modifier': 0.002, 'projected_demand_fit_modifier': 1.08, 'created_round': 1, 'launched_round': None, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}, {'project_id': 'team_05_P2', 'team_name': 'Team 05', 'project_slot_name': 'P2', 'project_name': '', 'target_segment': 'mid', 'target_tech_generation': 2, 'intended_slot_name': 'C', 'required_investment': 0.0, 'cumulative_investment': 0.0, 'investment_this_round': 0.0, 'testing_intensity': 0.0, 'launch_readiness_score': 0.0, 'planned_launch_round': 1, 'earliest_launch_round': 2, 'status': 'concept', 'cannibalization_group': '', 'projected_base_defect_modifier': 0.0, 'projected_demand_fit_modifier': 1.0, 'created_round': 1, 'launched_round': None, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}]}","[{'quantity': 171, 'arrival_round': 14, 'placed_round': 12, 'weighted_material_unit_cost': 37.37, 'weighted_lead_time': 1.65}]",86290.8,0.0,0.0,False,14.19
Team 06,Premium Quality,162698.12,0,828,56,632,22.02,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","{'firm_decision': {'team_name': 'Team 06', 'archetype': 'Premium Quality', 'overtime_capacity_units': 39, 'capacity_expansion_units': 31, 'raw_material_order_qty': 343, 'supplier_mix_offshore_pct': 35.0, 'supplier_mix_balanced_pct': 50.0, 'supplier_mix_premium_pct': 15.0, 'expedited_order_share_pct': 20.0, 'max_backorder_units': 56, 'planned_borrowing_amount': 10000.0}, 'product_decisions': [{'product_id': 'team_06_A', 'team_name': 'Team 06', 'slot_name': 'A', 'product_name': 'Elite Spin Pro', 'is_active': True, 'target_segment': 'premium', 'selling_price_per_unit': 186.24, 'planned_production_units': 103, 'qc_budget_per_unit': 6.7, 'target_finished_goods_inventory': 21, 'forecast_units': 122, 'retire_flag': False}, {'product_id': 'team_06_B', 'team_name': 'Team 06', 'slot_name': 'B', 'product_name': 'Control Tour', 'is_active': True, 'target_segment': 'mid', 'selling_price_per_unit': 149.76, 'planned_production_units': 114, 'qc_budget_per_unit': 5.2, 'target_finished_goods_inventory': 23, 'forecast_units': 135, 'retire_flag': False}, {'product_id': 'team_06_C', 'team_name': 'Team 06', 'slot_name': 'C', 'product_name': 'Team 06 NextGen', 'is_active': True, 'target_segment': 'premium', 'selling_price_per_unit': 132.48, 'planned_production_units': 47, 'qc_budget_per_unit': 3.7, 'target_finished_goods_inventory': 12, 'forecast_units': 55, 'retire_flag': False}], 'projects': [{'project_id': 'team_06_P1', 'team_name': 'Team 06', 'project_slot_name': 'P1', 'project_name': 'Team 06 NextGen', 'target_segment': 'premium', 'target_tech_generation': 3, 'intended_slot_name': 'C', 'required_investment': 16000.0, 'cumulative_investment': 44000.0, 'investment_this_round': 4000.0, 'testing_intensity': 0.4, 'launch_readiness_score': 85.59082683210151, 'planned_launch_round': 3, 'earliest_launch_round': 3, 'status': 'launch_ready', 'cannibalization_group': 'premium_nextgen', 'projected_base_defect_modifier': 0.002, 'projected_demand_fit_modifier': 1.08, 'created_round': 1, 'launched_round': 10, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}, {'project_id': 'team_06_P2', 'team_name': 'Team 06', 'project_slot_name': 'P2', 'project_name': '', 'target_segment': 'mid', 'target_tech_generation': 2, 'intended_slot_name': 'C', 'required_investment': 0.0, 'cumulative_investment': 0.0, 'investment_this_round': 0.0, 'testing_intensity': 0.0, 'launch_readiness_score': 0.0, 'planned_launch_round': 1, 'earliest_launch_round': 2, 'status': 'concept', 'cannibalization_group': '', 'projected_base_defect_modifier': 0.0, 'projected_demand_fit_modifier': 1.0, 'created_round': 1, 'launched_round': None, 'canceled_round': None, 'launch_now': False, 'cancel_now': False, 'replaced_product_name': None}]}","[{'quantity': 343, 'arrival_round': 14, 'placed_round': 12, 'weighted_material_unit_cost': 47.45, 'weighted_lead_time': 1.87}]",17114.12,120000.0,2640.0,True,136.85
